Unit Type,Unit No,Unit Postfix,Unit Name,Short Name,Super Short Name,Warrant,Meeting Dates,Last Installation,Location,Email,
RA,417,417,Chapter of Faith and Unanimity,Chapter of Faith & Unanimity,Faith & Unanimity,Charter dated 6 May 1857. Centenary Charter granted 1957.,"Tyles at 6.30pm on the fourth Monday of February (Installation 5.15pm), April, September, and November.",February 23rd 2026,Dorchester,ra417@dorsetfreemasonry.info,
RA,622,622,Chapter of St Cuthberga,Chapter of St Cuthberga,St Cuthberga,Charter dated 4 May 1864. Centenary Charter granted 1964.,"Tyles at 6.00pm on the third Thursday in January, March, May, October (Installation) and November.",October 16th 2025,Wimborne,ra622@dorsetfreemasonry.info,
RA,665,665,Montagu Chapter,Montagu Chapter,Montagu,Charter dated 4 November 1908.,"Tyles at 6.30pm on the fourth Thursday in January, March (Installation), May, September and November.",March 26th 2026,Lyme Regis,ra665@dorsetfreemasonry.info,
RA,707,707,St Mary's Chapter,St Mary's Chapter,St Mary's,Charter dated 4 May 1870.,"Tyles at 6.30pm on the first Thursday in February, April (Installation), October and December.",April 2nd 2026,Bridport,ra707@dorsetfreemasonry.info,
RA,1037,1037,Portland Chapter,Portland Chapter,Portland,Charter dated 5 November 1879. Centenary Charter granted 1980.,"Tyles at 6.15pm on the fourth Thursday in January, February, March, April, October (Installation) and November.",October 23rd 2025,Portland,ra1037@dorsetfreemasonry.info,
RA,1168,1168,Chapter of Benevolence,Chapter of Benevolence,Benevolence,Charter dated 1 May 1907.,"Tyles at 6.30pm on the last Tuesday in January, March, May, October and November (Installation 6.00pm).",November 25th 2025,Sherborne,ra1168@dorsetfreemasonry.info,
RA,1266,1266,Chapter of Honour and Friendship,Chapter of Honour and Friendship,Honour & Friendship,Charter dated 14 February 1979. Consecrated 21 April 1979.,"Tyles at 6.00pm on the second Friday in January, fourth Friday in April (Installation), third Friday in July and first Friday in November",November 21st 2025,Blandford,ra1266@dorsetfreemasonry.info,
RA,1367,1367,Dorset Masonic Bikers Chapter,Dorset Masonic Bikers Chapter,Dorset Bikers,Charter dated 25 April 2019.,"Tyles at 6.30pm on the first Wednesday in May, the first Saturday in June (10.30am) and the first Wednesday in September.  Installation June.",June 7th 2025,Beaminster,ra1367@dorsetfreemasonry.info,
RA,2559,2559,St Aldhelm's Chapter,St Aldhelm's Chapter,St Aldhelm's,Charter dated 4 August 1920.,"Tyles at 6.00pm on the third Monday in March, May, September and November (Installation 5.30pm).",November 17th 2025,Branksome,ra2559@dorsetfreemasonry.info,
RA,2689,2689,King's Court Chapter,King's Court Chapter,King's Court,Charter dated 2 November 1920.,"Tyles at 6.15pm on the second Wednesday in February, March, April (Installation), October and November.",April 8th 2026,Gillingham,ra2689@dorsetfreemasonry.info,
RA,3366,3366,Dorset First Principals Chapter,Dorset First Principals Chapter,Dorset First Principals,Charter dated 1 May 1975. Consecrated 20 June 1975.,Tyles at 11.00am on the third Friday in April and October (Installation).,October 17th 2025,Dorchester,ra3366@dorsetfreemasonry.info,
RA,3473,3473,United Service Chapter,United Service Chapter,United Service,Charter dated 4 August 1920.,"Tyles at 6.15pm on the second Monday in January, March, May, September (Installation) and November.",September 8th 2025,Portland,ra3473@dorsetfreemasonry.info,
RA,5331,5331,Kinson Chapter,Kinson Chapter,Kinson,Charter dated 1 November 1950. Consecrated 30 March 1951.,"Tyles at 6.00pm at the Kinson Masonic Hall, on the fourth Friday in January, March (Installation), September and November.",March 27th 2026,Kinson,ra5331@dorsetfreemasonry.info,
RA,6445,6445,Loyal Manor Chapter,Loyal Manor Chapter,Loyal Manor,Charter dated 25 April 1963. Consecrated 18 June 1963.,"Tyles at 6.00pm on the first Tuesday in February, April, October (Installation), and second Tuesday in December",October 7th 2025,Portland,ra6445@dorsetfreemasonry.info,
RA,7986,7986,Chapter of St Martin,Chapter of St Martin,St Martin,"Charter dated 4 April, 1995. Consecrated 4 April 1995.","Tyles at 6.00pm on the second Thursday in September, and the first Thursday in December, February and May (Installation).",May 1st 2025,Wareham,ra7986@dorsetfreemasonry.info,
RA,8099,8099,Vespasian Chapter,Vespasian Chapter,Vespasian,Charter dated 1 May 1975. Consecrated 9 July 1975.,"Tyles at 6.00pm on the third Thursday in February and November (Installation), the fourth Tuesday in May and the second Tuesday in September.",November 20th 2025,Branksome,ra8099@dorsetfreemasonry.info,
RA,9050,9050,Amphibious Chapter,Amphibious Chapter,Amphibious,Charter dated 13 February 1985. Consecrated 17 April 1985.,"Tyles at 6.00pm on the third Wednesday of January, March (Installation), June and October.",March 18th 2026,Wimborne,ra9050@dorsetfreemasonry.info,
RA,9177,9177,Verwood Chapter,Verwood Chapter,Verwood,Charter dated 11 December 1996. Consecrated 10 April 1997.,"Tyles at 6.00pm on the fourth Thursday in March, second Thursday in May and September (Installation), and the third Thursday in December.",September 11th 2025,Wimborne,ra9177@dorsetfreemasonry.info,
RA,9649,9649,Chapter of Diversity,Chapter of Diversity,Diversity,Charter dated 28 April 2016. Consecrated 27 July 2016.,Tyles at at 11.00am on the second Wednesday in March (Installation) and at various locations in the Province in July and October.,March 11th 2026,Kinson,ra9649@dorsetfreemasonry.info,
AMD,184,184,St Cuthberga Council,St Cuthberga Council,St Cuthberga,Warrant dated 19 June 2003.,Meets on the third Saturday in January (Installation) and the second Saturday in March and July.,January 17th 2026,Wimborne,,
KT,31,31,All Souls' Preceptory,All Souls' Preceptory,All Souls,Warrant dated 26 March 1847. Centenary Warrant dated 26 March 1947.,"Meets on the third Friday in March (Installation), May, September and November.",March 20th 2026,Weymouth,,
KT,98,98,Hyde Preceptory,Hyde Preceptory,Hyde,Warrant dated 1 October 1867. Transferred under sanction of Great Priory from Bridport to Wimborne 27 April 1886; and similarly from Wimborne to Poole 24 October 1967.,"Meets on the first Tuesday in January, April (Installation), July and October.",April 7th 2026,Wareham,,
KT,595,595,Vale of Dorset Preceptory,Vale of Dorset Preceptory,Vale of Dorset,Warranted and Consecrated on 13 December 1994.,"Meets on the second Tuesday in March, May, September & December (Installation).",December 9th 2025,Kinson,,
