Unit No,Unit Type,Location,Last Installation,Meeting Dates,Short Name,Super Short Name,Unit Name,Warrant,Email,
1266,Craft,Blandford,November 4th 2025,Tyles at 6.15 pm on the Tuesday on or before each full moon.  W.M.  elected first regular Meeting October.  Installed next regular Meeting.,Lodge of Honour & Friendship,Honour & Friendship,Lodge of Honour and Friendship,Warrant dated 22 May 1869. Centenary Warrant granted 1969.,1266@dorsetfreemasonry.info,
1367,Craft,Beaminster,March 10th 2026,Tyles at 6.30 pm on the second Tuesday October to May.  Installation March.,Beaminster Manor,Beaminster,Beaminster Manor Lodge,Warrant dated 3 August 1871. Centenary Warrant granted 1972.,1367@dorsetfreemasonry.info,
2559,Craft,Branksome,October 14th 2025,"Tyles at 6.30pm on the second Tuesday, October (Installation 4.30pm) to June (Installation)",St Aldhelm's Lodge,St Aldhelm's,St Aldhelm's Lodge,Warrant dated 2 May 1895. Centenary Warrant granted 1995.,2559@dorsetfreemasonry.info,
2689,Craft,Gillingham,November 18th 2025,Tyles at 6.30 pm on the third Tuesday January to November (Installation) except for July and August and the second Tuesday in December.,King's Court Lodge,King's Court,King's Court Lodge,Warrant dated 9 December 1897.,2689@dorsetfreemasonry.info,
3366,Craft,Dorchester,June 5th 2025,"Tyles at 2.00 pm on the first Thursday in March, June (Installation) and September.",Dorset Masters Lodge,Dorset Masters,Dorset Masters Lodge,Warrant dated 20 March 1909.,3366@dorsetfreemasonry.info,
3473,Craft,Portland,November 17th 2025,Tyles at 6.15 pm on the third Monday September - June.  Installation November.,United Service Lodge,United Service,United Service Lodge,Warrant dated 30 September 1910.,3473@dorsetfreemasonry.info,
3625,Craft,Sturminster Newton,November 28th 2025,Tyles at 6.30 pm on the Last Friday Sep - Jun.  Installation October.,Blackmore Vale Lodge,Blackmore Vale,Blackmore Vale Lodge,Warrant dated 5 September 1912.,3625@dorsetfreemasonry.info,
3878,Craft,Poole,September 15th 2025,"Tyles at 6.15 pm on the third Monday, September (Installation) to May.",Dunckerley Lodge,Dunckerley,Dunckerley Lodge,Warrant dated 22 July 1918,3878@dorsetfreemasonry.info,
4355,Craft,Branksome,October 1st 2025,"Tyles at 6.15 pm on the first Wednesday, October (Installation) to July.",Purbeck Lodge,Purbeck,Purbeck Lodge,Warrant dated 7 September 1921,4355@dorsetfreemasonry.info,
5331,Craft,Kinson,April 21st 2026,"Tyles at 6.00 pm on the third Tuesday, September to June.  Installation April.",Kinson Lodge,Kinson,Kinson Lodge,Warrant dated 21 December 1931,5331@dorsetfreemasonry.info,
6445,Craft,Portland,March 14th 2026,Tyles at 6.15 pm on the fourth Friday of September to June except December when third Friday.  Installation October.,Loyal Manor Lodge,Loyal Manor,Loyal Manor Lodge,Warrant dated 5 February 1947. Consecrated 12 November 1947.,6445@dorsetfreemasonry.info,
6525,Craft,Poole,October 24th 2025,Tyles at 6.00 pm on the Last Friday Jan - Jun & September plus second Friday in Dec,Ashley Lodge,Ashley,Ashley Lodge,Warrant dated 4 June 1947. Consecrated 26 November 1947.,6525@dorsetfreemasonry.info,
6827,Craft,Kinson,February 6th 2026,"Tyles at 6.00 pm on the first Friday, September to June.  Installation February.",Northbourne Lodge,Northbourne,Northbourne Lodge,Warrant dated 2 February 1949. Consecrated 22 June 1949.,6827@dorsetfreemasonry.info,
7300,Craft,Kinson,March 21st 2026,"Tyles at 5.30 pm on the third Saturday, September to May.  Installation March.",London Haven Lodge,London Haven,London Haven Lodge,Warrant dated 29 July 1953. Consecrated 20 March 1954.,7300@dorsetfreemasonry.info,
7860,Craft,Wimborne,February 25th 2026,"Tyles at 6.00 pm on the fourth Wednesday, January to May and September to November.  Installation February.",Ferndown Lodge,Ferndown,Ferndown Lodge,Warrant dated 12 September 1962. Consecrated 3 November 1962.,7860@dorsetfreemasonry.info,
7873,Craft,Portland,May 8th 2025,"Tyles at 6.30 pm on the second Thursday, September to June, except December.  Installation May.",Vindelis Lodge,Vindelis,Vindelis Lodge,Warrant dated 14 November 1962 consecrated 9 May 1963.,7873@dorsetfreemasonry.info,
7907,Craft,Poole,September 22nd 2025,"Tyles at 6.15 pm on the fourth Monday, January to November, except June, July and August and on the second Wednesday in December.  Installation September.",Llewellin Lodge,Llewellin,Llewellin Lodge,Warrant dated 13 March 1963. Consecrated 27 July 1963.,7907@dorsetfreemasonry.info,
7986,Craft,Wareham,April 16th 2026,Tyles at 6.15 pm on the third Thursday of September to June.  Installation April.,Lodge of St Martin,St Martin,Lodge of St Martin,Warrant dated 10 June1964. Consecrated 31 August 1964.,7986@dorsetfreemasonry.info,
8025,Craft,Portland,May 12th 2025,"Tyles at 6.00 pm on the second Monday in October to May, except for December.  Installation May.",Trinity Lodge,Trinity,Trinity Lodge,Warrant dated 10 March 1965. Consecrated 19 May 1965.,8025@dorsetfreemasonry.info,
8099,Craft,Wimborne,June 17th 2025,Tyles at 6.00 pm on the third Tuesday October - June.  Installation June.,Vespasian Lodge,Vespasian,Vespasian Lodge,Warrant dated 9 March 1966. Consecrated 19 May 1966.,8099@dorsetfreemasonry.info,
8118,Craft,Portland,October 28th 2025,Tyles at 6.15 pm on the fourth Tuesday September -May (Excl.  December).  Installation October.,Quintus Lodge,Quintus,Quintus Lodge,Warrant dated 8 June 1966. Consecrated 10 September 1966.,8118@dorsetfreemasonry.info,
8149,Craft,Portland,April 15th 2026,"Tyles at 6.15 pm on the the fourth Wednesday of September through to June, except April (Installation) and December when third Wednesday.",Chesil Lodge,Chesil,Chesil Lodge,Warrant dated 14 December 1966. Consecrated 1 April 1967.,8149@dorsetfreemasonry.info,
8290,Craft,Blandford,April 2nd 2026,"Tyles at 6.00 pm on the first Thursday of February, March, April (Installation 4.30pm), June, August, October and December.",Bleckly Clarke Lodge,Bleckly Clarke,Bleckly Clarke Lodge,Warrant dated 30 April 1969. Consecrated 9 July 1969.,8290@dorsetfreemasonry.info,
8315,Craft,Bridport,April 25th 2025,Tyles at 6.30 pm on the fourth Friday from October to April except for December.  (Installation April at 4.30pm).,Brit Valley Lodge,Brit Valley,Brit Valley Lodge,Warrant dated 10 December 1969. Consecrated 23 April 1970.,8315@dorsetfreemasonry.info,
8479,Craft,Kinson,May 12th 2025,Tyles at 6.30 pm on the second Monday September - May.  Installation May (5.00pm).,Lodge of Saint Mark,St Mark,Lodge of Saint Mark,Warrant dated 8 November 1972. Consecrated 24 February 1973.,8479@dorsetfreemasonry.info,
8641,Craft,Poole,September 10th 2025,"Tyles at 6.00 pm on the second Wednesday of September (Installation) to April, except for December when third Tuesday.",Broadstone Lodge,Broadstone,Broadstone Lodge,Warrant dated 12 February 1975. Consecrated 26 July 1975.,8641@dorsetfreemasonry.info,
8645,Craft,Branksome,September 23rd 2025,Tyles at 6.00 pm on the fourth Tuesday of September (Installation 4.30pm) to April and the second Wednesday in December.,Lodge of Hospitality & Concord,Hospitality & Concord,Lodge of Hospitality and Concord,Warrant dated 12 March 1975. Consecrated 6 August 1975.,8645@dorsetfreemasonry.info,
8726,Craft,Dorchester,November 6th 2025,"Tyles at 6.30 pm on the the first Thursday of every month except January, July, August and December.  Installation November.",Durnovarian Lodge,Durnovarian,Durnovarian Lodge,Warrant dated 9 June 1976. Consecrated 23 October 1976.,8726@dorsetfreemasonry.info,
9050,Craft,Wimborne,September 10th 2025,"Tyles at 6.00 pm on the second Wednesday from September (Installation 4.00pm) to May, except December.",Amphibious Lodge,Amphibious,Amphibious Lodge,Warrant dated 9 June 1982. Consecrated 13 November 1982.,9050@dorsetfreemasonry.info,
9177,Craft,Wimborne,September 4th 2025,"Tyles at 6.00 pm on the first Thursday of each month, except for January, April, July and AuguSt  Installation September.",Verwood Lodge,Verwood,Verwood Lodge,Warrant dated 13 November 1985. Consecrated 8 March 1986.,9177@dorsetfreemasonry.info,
9508,Craft,Wareham,April 26th 2025,"Tyles at 6.00 pm on the the third Wednesday in February, last Saturday in April (Installation), second Wednesday in June, third Wednesday in November.",Dorset Provincial Grand Stewards,Dorset Stewards,Kenneth Cross Lodge of Dorset Provincial Grand Stewards,Warrant dated 10 February 1993. Consecrated 3 April 1993.,9508@dorsetfreemasonry.info,
9546,Craft,Dorchester,March 20th 2026,"Tyles at 6.15 pm on the third Friday in March (Installation), third Thursday in February, April, May, June and October.",Dorset Fairway Lodge,Dorset Fairway,Dorset Fairway Lodge,Warrant dated 9 February 1994. Consecrated 6 April 1994.,9546@dorsetfreemasonry.info,
9649,Craft,Kinson,March 12th 2026,"Tyles at 10.30 am on the second Thursday in March (Installation), May, September and December.",Fraternal Lodge of Dorset,Fraternal,Fraternal Lodge of Dorset,Warrant dated 12 March 1997. Consecrated 19 June 1997.,9649@dorsetfreemasonry.info,
9689,Craft,Wareham,February 14th 2026,"Tyles at 6.00 pm on the second Friday in February (Installation) June and December, third Friday in April, September and November.",Brownsea Island Lodge,Brownsea Island,Brownsea Island Lodge,Warrant dated 11 November 1998. Consecrated 27 March 1999.,9689@dorsetfreemasonry.info,
9727,Craft,Kinson,February 5th 2026,"Tyles at 6.00 pm on the first Thursday in October to June, Installation (5.00pm) February.",Canford Lodge,Canford,Canford Lodge,Warrant dated 13 September 2000. Consecrated 22 February 2001.,9727@dorsetfreemasonry.info,
9942,Craft,Wimborne,April 4th 2026,"Tyles at 6.30 pm on the first Tuesday in June, October and December and the last Monday in February.  Installation on the first Saturday in April.",Dorset Sportsmen's Lodge,Sportsmen's ,Dorset Sportsmen's Lodge,Consecrated 8th April 2017,9942@dorsetfreemasonry.info,
99,Mark,Wimborne,February 9th 2026,"Tyles at 6.00 pm on the second Monday in February (Installation), April, October and November.",St Cuthberga,St Cuthberga,St Cuthberga,"Warrant dated 3rd December 1867. Transferred from Trowbridge, Wiltshire to Wimborne Minster on 27th June 1870. Centenary Warrant dated 1970. Keystone Lodge. Grand Patron of the Mark Benevolent Fund.",sec99@dorsetmark.org.uk,
121,Mark,Blandford,May 29th 2025,"Tyles at 6.30 pm on the last Thursday in January, March, May (Installation), September and November.",St Mary’s,St Mary’s,St Mary’s,Warrant dated 10 November 1870. Transferred from Bridport to Blandford on 27 March 1902. Keystone Lodge. Grand Patron of the Mark Benevolent Fund.,sec121@dorsetmark.org.uk,
126,Mark,Weymouth,January 20th 2026,"Tyles at 6.30 pm on the third Tuesday in January, March (Installation), September and November.",All Souls,All Souls,All Souls,Warrant dated 19th January 1871. Centenary Warrant dated 1971. Keystone Lodge. Grand Patron of the Mark Benevolent Fund.,sec126@dorsetmark.org.uk,
132,Mark,Poole,February 12th 2026,"Tyles at 6.00 pm on the second Thursday in February (Installation), May, September and November.",Amity,Amity,Amity,Warrant dated 25th April 1871. Centenary Warrant dated 4th February 1997. Keystone Lodge. Grand Patron of the Mark Benevolent Fund.,sec132@dorsetmark.org.uk,
132,RAM,Poole,January 27th 2026,"Tyles at 6.00 pm on the fourth Tuesday in January, March (Installation), June and November.",Amity,Amity,Amity,Warrant dated 22nd April 1919. Keystone Lodge. Grand Patron of the Mark Benevolent Fund.,scribe132@dorsetmark.org.uk,
133,Mark,Portland,February 11th 2026,"Tyles at 6.30pm and (6.00pm on night of Installation.) on the second Wednesday in January, February (Installation), March, October, November and December.",Portland,Portland,Portland,Warrant dated 3rd May 1871. Transferred from Dorchester to Portland on 10th March 1882. Centenary Warrant dated 1982. Keystone Lodge. Grand Patron Gold of the Mark Benevolent Fund.,sec133@dorsetmark.org.uk,
133,RAM,Portland,October 1st 2025,"Tyles at 6.30 pm on the first Wednesday in March, May, October (Installation) and December.",Portland,Portland,Portland,Warrant dated 2nd May 1946. Keystone Lodge. Grand Patron of the Mark Benevolent Fund.,scribe133@dorsetmark.org.uk,
634,Mark,Portland,November 3rd 2025,"Tyles at 6.15 pm on the first Monday in February, April, June, October and November (Installation).",Naval & Military,Naval & Military,Naval and Military,Warrant dated 6th November 1911. Centenary Warrant dated 2011. Keystone Lodge. Grand Patron of the Mark Benevolent Fund.,sec134@dorsetmark.org.uk,
690,Mark,Bridport,November 24th 2025,"Tyles at 6.30 pm on the fourth Monday in March, May, September and November (Installation).",Victory,Victory,Victory,Warrant dated 5th June 1919. Double Keystone Lodge. Grand Patron Gold of the Mark Benevolent Fund.,sec690@dorsetmark.org.uk,
690,RAM,Bridport,March 14th 2026,"Tyles at 6.30 pm on the second Friday in March, May (Installation) and November.  Tyles at 6.30pm.",Victory,Victory,Victory,Warrant dated 1st June 1978. Consecrated 8th September 1978. Keystone Lodge. Grand Patron of the Mark Benevolent Fund.,scribe690@dorsetmark.org.uk,
763,Mark,Wareham,May 14th 2025,"Tyles at 6.00 pm on the second Wednesday in January, March and May (Installation) and November.",Anglebury,Anglebury,Anglebury,Warrant dated 13th April 1922. Transferred from Wareham to Swanage 1925. Centenary Warrant dated 2022. Keystone Lodge. Grand Patron of the Mark Benevolent Fund.,sec763@dorsetmark.org.uk,
763,RAM,Wareham,April 8th 2026,"Tyles at 6.30 pm on the second Wednesday in February and April (Installation), June and September.",Anglebury,Anglebury,Anglebury,Warrant and Consecration on 9th April 2003. Grand Patron of the Mark Benevolent Fund.,scribe763@dorsetmark.org.uk,
1095,Mark,Shaftesbury,March 20th 2026,"Tyles at 6.30 pm on the third Friday in January, March (Installation), May, September and November.",St Edward the Martyr,St Edward the Martyr,St Edward the Martyr,Warrant dated 2nd January 1948. Consecrated 5th May 1948. Keystone Lodge. Grand Patron of the Mark Benevolent Fund.,sec1095@dorsetmark.org.uk,
1095,RAM,Shaftesbury,October 17th 2025,"Tyles at 6.30 pm on the third Friday in February, April, June and October (Installation).",St Edward the Martyr,St Edward the Martyr,St Edward the Martyr,Warrant dated 2nd September 1954. Consecrated on 26th October 1954. Grand Patron of the Mark Benevolent Fund.,scribe1095@dorsetmark.org.uk,
1163,Mark,Kinson,October 27th 2025,"Tyles at 6.00 pm on the fourth Monday in January, March, June and October (Installation).",Kinson,Kinson,Kinson,Warrant dated 16th April 1952. Consecrated 9th July 1952. Keystone Lodge. Grand Patron of the Mark Benevolent Fund.,sec1163@dorsetmark.org.uk,
1477,Mark,Branksome,February 2nd 2026,"Tyles at 6.00 pm on the first Monday in February (Installation), June, September and November.",Branksome,Branksome,Branksome,Warrant dated 9th September 1976. Consecrated 31st January 1977. Keystone Lodge. Grand Patron of the Mark Benevolent Fund.,sec1477@dorsetmark.org.uk,
1477,RAM,Kinson,February 26th 2026,"Tyles at 6.00 pm on the fourth Thursday in February, (Installation), April and June and the third Friday in November.",Branksome,Branksome,Branksome,Warrant dated 10th June 1980. Consecrated 10th September 1980. Grand Patron of the Mark Benevolent Fund.,scribe1477@dorsetmark.org.uk,
1572,Mark,Wimborne,November 1st 2025,"Tyles at at 6.30pm on the second Wednesday in July, and at 11.00am on the first Saturday in November (Installation).",Dorset Installed Mark Masters,Dorset Mark Masters,Dorset Installed Mark Masters,Warrant dated 27th August 1981. Consecrated 7th November 1981. Grand Patron Gold of the Mark Benevolent Fund.,sec1572@dorsetmark.org.uk,
1572,RAM,Portland,April 19th 2025,Tyles at 11.00 am on the third Saturday in April (Installation) and on the first Saturday in September.,Dorset Installed Commanders,Dorset Commanders,Dorset Installed Commanders,Warrant dated 7th February 1991. Consecrated 20th April 1991. Grand Patron of the Mark Benevolent Fund.,scribe1572@dorsetmark.org.uk,
1635,Mark,Dorchester,October 7th 2025,"Tyles at 6.30 pm on the first Tuesday in March, May and October (Installation) and the fourth Tuesday in November.",Durnovarian,Durnovarian,Durnovarian,Warrant dated 15th July 1986. Consecrated 27th September 1986. Grand Patron Gold of the Mark Benevolent Fund.,sec1635@dorsetmark.org.uk,
1925,Mark,Blandford,June 4th 2025,Tyles at 11.00 am on the first Wednesday in June (Installation) and the last Wednesday in November.,Dorset Mark Stewards,Dorset Stewards,Dorset Mark Stewards,Warrant and Consecration dated 1st June 2011. Vice Patron of the Mark Benevolent Fund.,scribe1925@dorsetmark.org.uk,
2053,Mark,Blandford,July 16th 2025,"Tyles at 6.00 am on the third Wednesday in January, March, July (Installation) and October.",Brownsea Island,Brownsea Island,Brownsea Island,Warrant and Consecration dated 19th August 2023.,sec2053@dorsetmark.org.uk,
137,RA,Poole,May 12th 2025,"Tyles at 6.00pm on the second Monday in March, May (Installation 5.00pm), October and December.",Chapter of Amity,Amity,Chapter of Amity,"Charter dated 26 June 1780. Centenary Warrant dated 1969, granted retrospectively 1975.",ra137@dorsetfreemasonry.info,
170,RA,Weymouth,November 7th 2025,"Tyles at 6.00pm on the first Friday in February, March, April, October, November (Installation) and December.",All Souls Chapter,All Souls,All Souls Chapter,Charter dated 7 May 1807. Charter of Confirmation dated November 1821. Centenary Charter granted 1907. Bi-Centenary Charter granted 2007.,ra170@dorsetfreemasonry.info,
386,RA,Wareham,October 15th 2025,"Tyles at 6.00 pm on the third Wednesday in January, April, July and October (Installation).",Chapter of Unity,Unity,Chapter of Unity,Charter dated August 1887.,ra386@dorsetfreemasonry.info,
417,RA,Dorchester,February 23rd 2026,"Tyles at 6.30pm on the fourth Monday of February (Installation 5.15pm), April, September, and November.",Chapter of Faith & Unanimity,Faith & Unanimity,Chapter of Faith and Unanimity,Charter dated 6 May 1857. Centenary Charter granted 1957.,ra417@dorsetfreemasonry.info,
622,RA,Wimborne,October 16th 2025,"Tyles at 6.00pm on the third Thursday in January, March, May, October (Installation) and November.",Chapter of St Cuthberga,St Cuthberga,Chapter of St Cuthberga,Charter dated 4 May 1864. Centenary Charter granted 1964.,ra622@dorsetfreemasonry.info,
665,RA,Lyme Regis,March 26th 2026,"Tyles at 6.30pm on the fourth Thursday in January, March (Installation), May, September and November.",Montagu Chapter,Montagu,Montagu Chapter,Charter dated 4 November 1908.,ra665@dorsetfreemasonry.info,
707,RA,Bridport,April 2nd 2026,"Tyles at 6.30pm on the first Thursday in February, April (Installation), October and December.",St Mary's Chapter,St Mary's,St Mary's Chapter,Charter dated 4 May 1870.,ra707@dorsetfreemasonry.info,
1037,RA,Portland,October 23rd 2025,"Tyles at 6.15pm on the fourth Thursday in January, February, March, April, October (Installation) and November.",Portland Chapter,Portland,Portland Chapter,Charter dated 5 November 1879. Centenary Charter granted 1980.,ra1037@dorsetfreemasonry.info,
1168,RA,Sherborne,November 25th 2025,"Tyles at 6.30pm on the last Tuesday in January, March, May, October and November (Installation 6.00pm).",Chapter of Benevolence,Benevolence,Chapter of Benevolence,Charter dated 1 May 1907.,ra1168@dorsetfreemasonry.info,
1266,RA,Blandford,November 21st 2025,"Tyles at 6.00pm on the second Friday in January, fourth Friday in April (Installation), third Friday in July and first Friday in November",Chapter of Honour and Friendship,Honour & Friendship,Chapter of Honour and Friendship,Charter dated 14 February 1979. Consecrated 21 April 1979.,ra1266@dorsetfreemasonry.info,
1367,RA,Beaminster,June 7th 2025,"Tyles at 6.30pm on the first Wednesday in May, the first Saturday in June (10.30am) and the first Wednesday in September.  Installation June.",Dorset Masonic Bikers Chapter,Dorset Bikers,Dorset Masonic Bikers Chapter,Charter dated 25 April 2019.,ra1367@dorsetfreemasonry.info,
2559,RA,Branksome,November 17th 2025,"Tyles at 6.00pm on the third Monday in March, May, September and November (Installation 5.30pm).",St Aldhelm's Chapter,St Aldhelm's,St Aldhelm's Chapter,Charter dated 4 August 1920.,ra2559@dorsetfreemasonry.info,
2689,RA,Gillingham,April 8th 2026,"Tyles at 6.15pm on the second Wednesday in February, March, April (Installation), October and November.",King's Court Chapter,King's Court,King's Court Chapter,Charter dated 2 November 1920.,ra2689@dorsetfreemasonry.info,
3366,RA,Dorchester,October 17th 2025,Tyles at 11.00am on the third Friday in April and October (Installation).,Dorset First Principals Chapter,Dorset First Principals,Dorset First Principals Chapter,Charter dated 1 May 1975. Consecrated 20 June 1975.,ra3366@dorsetfreemasonry.info,
3473,RA,Portland,September 8th 2025,"Tyles at 6.15pm on the second Monday in January, March, May, September (Installation) and November.",United Service Chapter,United Service,United Service Chapter,Charter dated 4 August 1920.,ra3473@dorsetfreemasonry.info,
5331,RA,Kinson,March 27th 2026,"Tyles at 6.00pm at the Kinson Masonic Hall, on the fourth Friday in January, March (Installation), September and November.",Kinson Chapter,Kinson,Kinson Chapter,Charter dated 1 November 1950. Consecrated 30 March 1951.,ra5331@dorsetfreemasonry.info,
6445,RA,Portland,October 7th 2025,"Tyles at 6.00pm on the first Tuesday in February, April, October (Installation), and second Tuesday in December",Loyal Manor Chapter,Loyal Manor,Loyal Manor Chapter,Charter dated 25 April 1963. Consecrated 18 June 1963.,ra6445@dorsetfreemasonry.info,
7986,RA,Wareham,May 1st 2025,"Tyles at 6.00pm on the second Thursday in September, and the first Thursday in December, February and May (Installation).",Chapter of St Martin,St Martin,Chapter of St Martin,"Charter dated 4 April, 1995. Consecrated 4 April 1995.",ra7986@dorsetfreemasonry.info,
8099,RA,Branksome,November 20th 2025,"Tyles at 6.00pm on the third Thursday in February and November (Installation), the fourth Tuesday in May and the second Tuesday in September.",Vespasian Chapter,Vespasian,Vespasian Chapter,Charter dated 1 May 1975. Consecrated 9 July 1975.,ra8099@dorsetfreemasonry.info,
9050,RA,Wimborne,March 18th 2026,"Tyles at 6.00pm on the third Wednesday of January, March (Installation), June and October.",Amphibious Chapter,Amphibious,Amphibious Chapter,Charter dated 13 February 1985. Consecrated 17 April 1985.,ra9050@dorsetfreemasonry.info,
9177,RA,Wimborne,September 11th 2025,"Tyles at 6.00pm on the fourth Thursday in March, second Thursday in May and September (Installation), and the third Thursday in December.",Verwood Chapter,Verwood,Verwood Chapter,Charter dated 11 December 1996. Consecrated 10 April 1997.,ra9177@dorsetfreemasonry.info,
9649,RA,Kinson,March 11th 2026,Tyles at at 11.00am on the second Wednesday in March (Installation) and at various locations in the Province in July and October.,Chapter of Diversity,Diversity,Chapter of Diversity,Charter dated 28 April 2016. Consecrated 27 July 2016.,ra9649@dorsetfreemasonry.info,
313,RCOC,Wareham,4th November 2025,tbc,Hagia Sophia ,Hagia Sophia ,Hagia Sophia Conclave,tbc,tbc,
380,RCOC,Branksome,15th May 2025,tbc,Magnaura,Magnaura,Magnaura Conclave,tbc,tbc,
398,RCOC,Salisbury,1st September 2025,tbc,Cathedral,Cathedral,Cathedral Santuary & Commandery,tbc,tbc,
399,RCOC,Kinson,8th May 2025,tbc,Wessex Sovereigns ,Wessex Sovereigns ,Wessex Sovereigns Conclave,tbc,tbc,
404,RCOC,Kinson,30th October 2025,Tyles at 6:00pm on the fifth Thursday of each month.  Enthronement in October.,Heraclius,Heraclius,Heraclius Conclave,Date of Consecration 19th August 1989.,tbc,
447,RCOC,Wareham,31st October 2025,Tyles at 11:00am.,Milion,Milion,Milion Conclave,tbc,tbc,
448,RCOC,Wareham,27th October 2025,tbc,Scholarii ,Scholarii ,Scholarii Conclave,tbc,tbc,
