UnitType,Number,Title,RecurrenceType,RecurrenceStrategy,DayOfWeek,WeekNumber,DayNumber,InstallationMonth,StartMonth,EndMonth,Months,Override
Craft,8149,Meeting,Monthly,Default,Wednesday,4th,,,,,Sep:Oct:Nov:Jan:Feb:Mar:May:Jun,
Craft,8149,Meeting,Monthly,Default,Wednesday,3rd,,Apr,,,Apr:Dec,
Craft,8315,Meeting,Monthly,Default,Friday,4th,,Apr,,,Oct:Nov:Jan:Feb:Mar:Apr,
Craft,8479,Meeting,Monthly,Default,Monday,2nd,,May,Sep,May,,
Craft,8641,Meeting,Monthly,Default,Wednesday,2nd,,Sep,,,Sep:Oct:Nov:Jan:Feb:Mar:Apr,
Craft,8641,Meeting,Yearly,Default,Tuesday,3rd,,,Dec,Dec,,
Craft,8726,Meeting,Monthly,Default,Thursday,1st,,Nov,,,Feb:Mar:Apr:May:Jun:Sep:Oct:Nov,
Craft,9050,Meeting,Monthly,Default,Wednesday,2nd,,Sep,,,Sep:Oct:Nov:Jan:Feb:Mar:Apr:May,
Craft,9177,Meeting,Monthly,Default,Thursday,1st,,Sep,,,Sep:Oct:Nov:Dec:Feb:Mar:May:Jun,
Craft,9546,Meeting,Monthly,Default,Thursday,3rd,,,,,Feb:Apr:May:Jun:Oct,
Craft,9546,Installation,Yearly,Default,Friday,3rd,,,Mar,Mar,,
Craft,9649,Meeting,Monthly,Default,Thursday,2nd,,Mar,,,Mar:May:Sep:Dec,
Craft,9689,Meeting,Monthly,Default,Friday,2nd,,Feb,,,Feb:Jun:Dec,
Craft,9689,Meeting,Monthly,Default,Friday,3rd,,,,,Apr:Sep:Nov,
Craft,9942,Meeting,Monthly,Default,Tuesday,1st,,,,,Jun:Oct:Dec,
Craft,9942,Meeting,Yearly,Default,Monday,Last,,,Feb,Feb,,
Craft,9942,Installation,Yearly,Default,Saturday,1st,,,Apr,Apr,,
RA,170,Meeting,Monthly,Default,Friday,1st,,Nov,,,Oct:Nov:Dec:Feb:Mar:Apr,
RA,5331,Meeting,Monthly,Default,Friday,4th,,Mar,,,Jan:Mar:Sep:Nov,
RA,137,Meeting,Monthly,Default,Monday,2nd,,May,,,Mar:May:Oct:Dec,
RA,386,Meeting,Monthly,Default,Wednesday,3rd,,Oct,,,Jan:Apr:Jul:Oct,
RA,417,Meeting,Monthly,Default,Monday,4th,,Feb,,,Feb:Apr:Sep:Nov,
RA,622,Meeting,Monthly,Default,Thursday,3rd,,Oct,,,Jan:Mar:May:Oct:Nov,
RA,665,Meeting,Monthly,Default,Thursday,4th,,Mar,,,Jan:Mar:May:Sep:Nov,
RA,707,Meeting,Monthly,Default,Thursday,1st,,Apr,,,Feb:Apr:Oct:Dec,
RA,1037,Meeting,Monthly,Default,Thursday,4th,,Oct,,,Jan:Feb:Mar:Apr:Oct:Nov,
RA,1168,Meeting,Monthly,Default,Tuesday,Last,,Nov,,,Jan:Mar:May:Oct:Nov,
RA,1266,Meeting,Monthly,Default,Friday,1st,,,,,Nov,
RA,1266,Meeting,Monthly,Default,Friday,2nd,,,,,Jan,
RA,1266,Meeting,Monthly,Default,Friday,3rd,,,,,Jul:Sep,
RA,1266,Meeting,Monthly,Default,Friday,4th,,Apr,,,Apr,
RA,1367,Meeting,Monthly,Default,Wednesday,1st,,,,,May:Sep,
RA,1367,Meeting,Monthly,Default,Saturday,1st,,Jun,,,Jun,
RA,2559,Meeting,Monthly,Default,Monday,3rd,,Nov,,,Mar:May:Sep:Nov,
RA,2689,Meeting,Monthly,Default,Wednesday,2nd,,Apr,,,Feb:Mar:Apr:Oct:Nov,
RA,3366,Meeting,Monthly,Default,Friday,3rd,,Oct,,,Apr:Oct,
RA,3473,Meeting,Monthly,Default,Monday,2nd,,Sep,,,Jan:Mar:May:Sep:Nov,
RA,6445,Meeting,Monthly,Default,Tuesday,1st,,Oct,,,Feb:Apr:Oct:Dec,
RA,7986,Meeting,Monthly,Default,Thursday,2nd,,,,,Sep,
RA,7986,Meeting,Monthly,Default,Thursday,1st,,May,,,Feb:May:Dec,
RA,8099,Meeting,Monthly,Default,Tuesday,4th,,,May,May,,
RA,8099,Meeting,Monthly,Default,Tuesday,2nd,,,Sep,Sep,,
RA,8099,Meeting,Monthly,Default,Thursday,3rd,,Nov,,,Feb:Nov,
RA,9050,Meeting,Monthly,Default,Wednesday,3rd,,Mar,,,Jan:Mar:Jun:Oct,
RA,9177,Meeting,Monthly,Default,Thursday,4th,,Sep,,,Mar:May:Sep:Dec,
RA,9649,Meeting,Monthly,Default,Wednesday,3rd,,Mar,,,Mar,
RA,9649,Meeting,Monthly,Default,Wednesday,2nd,,,,,Jul:Oct,
Mark,99,Meeting,Monthly,Default,Monday,2nd,,Feb,,,Feb:Apr:Oct:Nov,
Mark,121,Meeting,Monthly,Default,Thursday,Last,,May,,,Jan:Mar:May:Sep:Nov,
Mark,126,Meeting,Monthly,Default,Tuesday,3rd,,Mar,,,Jan:Mar:Sep:Nov,
Mark,132,Meeting,Monthly,Default,Thursday,2nd,,Feb,,,Feb:May:Sep:Nov,
Mark,1163,Meeting,Monthly,Default,Monday,4th,,Oct,,,Jan:Mar:Jun:Oct,
RAM,132,Meeting,Monthly,Default,Tuesday,4th,,Mar,,,Jan:Mar:Jun:Nov,
Mark,133,Meeting,Monthly,Default,Wednesday,2nd,,Feb,,,Jan:Feb:Mar:Oct:Nov:Dec,
RAM,133,Meeting,Monthly,Default,Wednesday,1st,,Oct,,,Mar:May:Oct:Dec,
Mark,634,Meeting,Monthly,Default,Monday,1st,,Dec,,,Feb:Apr:Jun:Oct:Dec,
Mark,690,Meeting,Monthly,Default,Monday,4th,,Nov,,,Mar:May:Sep:Nov,
RAM,690,Meeting,Monthly,Default,Friday,2nd,,May,,,Mar:May:Nov,
Mark,763,Meeting,Monthly,Default,Wednesday,2nd,,May,,,Jan:Mar:May:Nov,
RAM,763,Meeting,Monthly,Default,Wednesday,2nd,,Apr,,,Feb:Apr:Jun:Sep,
Mark,1095,Meeting,Monthly,Default,Friday,3rd,,Mar,,,Jan:Mar:May:Sep:Nov,
RAM,1095,Meeting,Monthly,Default,Friday,3rd,,Oct,,,Feb:Apr:Jun:Oct,
Mark,1477,Meeting,Monthly,Default,Monday,1st,,Feb,,,Feb:Jun:Sep:Nov,
RAM,1477,Meeting,Monthly,Default,Thursday,4th,,Feb,,,Feb:Apr:Jun,
RAM,1477,Meeting,Monthly,Default,Friday,3rd,,,Nov,Nov,,
Mark,1572,Meeting,Monthly,Default,Wednesday,2nd,,,Jul,Jul,,
Mark,1572,Meeting,Monthly,Default,Saturday,1st,,Nov,Nov,Nov,,
RAM,1572,Meeting,Monthly,Default,Saturday,3rd,,Apr,Apr,Apr,,
RAM,1572,Meeting,Monthly,Default,Saturday,1st,,,Sep,Sep,,
Mark,1635,Meeting,Monthly,Default,Tuesday,1st,,Oct,,,Mar:May:Oct,
Mark,1635,Meeting,Monthly,Default,Tuesday,4th,,,Nov,Nov,,
Mark,1925,Meeting,Monthly,Default,Wednesday,1st,,Jun,Jun,Jun,,
Mark,1925,Meeting,Monthly,Default,Wednesday,Last,,,Nov,Nov,,
Mark,2053,Meeting,Monthly,Default,Wednesday,3rd,,Jul,,,Jan:Mar:Jul:Oct,
ROS,1,Meeting,Monthly,Default,Saturday,2nd,,Aug,,,Jan:Aug,
ROS,1,Meeting,Monthly,Default,Saturday,1st,,,May,May,,
RC,4,Meeting,Monthly,Default,Thursday,4th,,,,,Mar:Jul,
RC,4,Installation,Monthly,Default,Thursday,3rd,,Oct,Oct,Oct,,
SRIA,30,Meeting,Monthly,Default,Saturday,4th,,Oct,,,Feb:Oct,
SRIA,30,Meeting,Monthly,Default,Saturday,2nd,,May,May,May,,
KT,31,Meeting,Monthly,Default,Friday,3rd,,Mar,,,Mar:May:Sep:Nov,
KTP,47,Meeting,Monthly,Default,Friday,3rd,,Mar,,,Mar:May:Sep:Nov,
KT,98,Meeting,Monthly,Default,Tuesday,1st,,Apr,,,Jan:Apr:Jul:Oct,
OSC,103,Meeting,Monthly,Default,Wednesday,2nd,,Apr,,,Apr:Nov,
OSM,111,Meeting,Monthly,Default,Thursday,2nd,,Oct,,,Mar:Jun:Oct:Dec,
STOA,114,Meeting,Monthly,Default,Saturday,1st,,Apr,Apr,Apr,,
STOA,114,Meeting,Monthly,Default,Friday,Last,,,Nov,Nov,,
OSC,116,Meeting,Monthly,Default,Thursday,3rd,,,Apr,Apr,,
OSC,116,Meeting,Monthly,Default,Monday,1st,,Nov,Nov,Nov,,
Athel,143,Meeting,Monthly,Default,Monday,1st,,Feb,,,Feb:Jun:Oct,
OSM,180,Meeting,Monthly,Default,Tuesday,4th,,,,,Feb:May:Sep,
OSM,180,Meeting,Monthly,Default,Tuesday,1st,,Dec,Dec,Dec,,
AMD,184,Meeting,Monthly,Default,Saturday,3rd,,Jan,Jan,Jan,,
AMD,184,Meeting,Monthly,Default,Saturday,2nd,,,,,Mar:Jul,
KTP,193,Meeting,Monthly,Default,Tuesday,4th,,Mar,,,Mar:Nov,
RSM,209,Meeting,Monthly,Default,Saturday,3rd,,,,,Mar:Nov,
RSM,209,Meeting,Monthly,Default,Saturday,4th,,Sep,Sep,Sep,,
RSM,263,Meeting,Monthly,Default,Friday,5th,,Jan,Jan,Nov,,
OSM,290,Meeting,Monthly,Default,Tuesday,2nd,,Nov,,,Jan:Jun:Sep:Nov,
RCOC,313,Meeting,Monthly,Default,Friday,3rd,,,Jan,Jan,,
RCOC,313,Meeting,Monthly,Default,Monday,4th,,,Jun,Jun,,
RCOC,313,Meeting,Monthly,Default,Tuesday,1st,,Nov,Nov,Nov,,
RCOC,380,Meeting,Monthly,Default,Thursday,3rd,,May,,,Jan:May:Oct,
OSM,392,Meeting,Monthly,Default,Wednesday,3rd,,Oct,,,Feb:May:Oct,
RCOC,399,Meeting,Monthly,Default,Thursday,2nd,,May,May,May,,
RCOC,399,Meeting,Monthly,Default,Tuesday,2nd,,,Sep,Sep,,
RCOC,404,Meeting,Monthly,Default,Thursday,5th,,Oct,,,Jan:Feb:Mar:Apr:May:Jun:Sep:Oct:Nov,
RCOC,447,Meeting,Monthly,Default,Friday,5th,,Oct,Jan,Nov,,
KT,595,Meeting,Monthly,Default,Tuesday,2nd,,Dec,,,Mar:May:Sep:Dec,
RC,597,Meeting,Monthly,Default,Thursday,3rd,,,Feb,Feb,,
RC,597,Meeting,Monthly,Default,Monday,2nd,,Jun,,,Jun:Sep,
RC,597,Meeting,Monthly,Default,,,30,Dec,Dec,Dec,,
OSM,608,Meeting,Monthly,Default,Monday,3rd,,Oct,,,Feb:Jun:Oct,
KT,733,Meeting,Monthly,Default,Friday,1st,,May,May,May,,
KT,733,Meeting,Monthly,Default,Friday,3rd,,,,,Oct:Feb,
RC,768,Meeting,Monthly,Default,Friday,2nd,,Jun,,,Feb:Apr:Jun:Oct,
PBQ,998,Meeting,Monthly,Default,Friday,4th,,Oct,,,Jan:Mar:Apr:Oct,
OSC,999,Meeting,Monthly,Default,Friday,4th,,Feb,,,Feb:Jun,
RC,1019,Meeting,Monthly,Default,Tuesday,1st,,Oct,,,Feb:May:Oct,
RC,1068,Meeting,Monthly,Default,Wednesday,3rd,,Oct,,,Feb:May:Oct,
RC,1078,Meeting,Monthly,Default,Monday,5th,,May,,,Jan:Feb:Mar:Apr:May:Jun:Sep:Oct:Nov,
RC,1127,Meeting,Monthly,Default,Tuesday,2nd,,Mar,,,Mar:Jul:Oct,
RC,1162,Meeting,Monthly,Default,Thursday,4th,,Feb,Feb,Feb,,
RC,1162,Meeting,Monthly,Default,Friday,2nd,,,Jul,Jul,,
RC,1212,Meeting,Monthly,Default,Wednesday,4th,,Mar,,,Mar:Jun:Sep,
